./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.568.jpg,[0.51081145]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.569.jpg,[0.50779355]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.609.jpg,[0.5045084]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.567.jpg,[0.5042346]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.566.jpg,[0.5034298]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.610.jpg,[0.5021729]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.606.jpg,[0.50200933]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.605.jpg,[0.5018992]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.604.jpg,[0.4997826]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.565.jpg,[0.49896616]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.564.jpg,[0.49870935]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.573.jpg,[0.4976277]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.611.jpg,[0.49737293]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.608.jpg,[0.49718064]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.607.jpg,[0.49675804]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.561.jpg,[0.4949652]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.612.jpg,[0.49389708]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.563.jpg,[0.4932366]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.576.jpg,[0.49307036]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.574.jpg,[0.49125695]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\0\0.623.jpg,[0.49110207]
