./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.206.jpg,[0.41816548]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.207.jpg,[0.41810477]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.188.jpg,[0.41781548]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.230.jpg,[0.41634214]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.205.jpg,[0.41629827]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.208.jpg,[0.41622698]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.189.jpg,[0.4152697]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.191.jpg,[0.41508573]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.223.jpg,[0.41482174]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.187.jpg,[0.41455108]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.229.jpg,[0.4133399]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.227.jpg,[0.41262963]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.209.jpg,[0.41210014]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.226.jpg,[0.4110217]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.190.jpg,[0.410673]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.184.jpg,[0.4102899]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.228.jpg,[0.40983963]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.224.jpg,[0.40950653]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.186.jpg,[0.4088977]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.185.jpg,[0.4082874]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.231.jpg,[0.40754804]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.211.jpg,[0.40660945]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.222.jpg,[0.40659168]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.221.jpg,[0.40484715]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.210.jpg,[0.4044053]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.225.jpg,[0.40431026]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.212.jpg,[0.40416226]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.192.jpg,[0.4036674]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.183.jpg,[0.40342176]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.204.jpg,[0.40310153]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.219.jpg,[0.40231335]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.218.jpg,[0.40029413]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.220.jpg,[0.39751995]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.213.jpg,[0.39704353]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.203.jpg,[0.39644244]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.193.jpg,[0.39572793]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.214.jpg,[0.39277947]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.200.jpg,[0.39156812]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.202.jpg,[0.39067435]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.195.jpg,[0.38770586]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.194.jpg,[0.38676584]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.201.jpg,[0.38503224]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.197.jpg,[0.38313305]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.217.jpg,[0.3830452]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.215.jpg,[0.3829584]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.216.jpg,[0.3821076]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.196.jpg,[0.3803557]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.199.jpg,[0.3795876]
./YouTubeFaces/frame_images_DB_224x224\Aaron_Eckhart\1\1.198.jpg,[0.37632445]
